X,Y,Z,Norm,R_Cell
-21.01,-5.77,-15.51,16.915,1
-19.01,-5.77,-15.51,16.616,1
-17.01,-5.77,-15.51,16.556,1
-15.01,-5.77,-15.51,16.736,1
-22.01,-4.04,-15.51,16.647,1
-20.01,-4.04,-15.51,16.221,1
-18.01,-4.04,-15.51,16.035,1
-16.01,-4.04,-15.51,16.098,1
-14.01,-4.04,-15.51,16.405,1
-12.01,-4.04,-15.51,16.945,1
-23.01,-2.31,-15.51,16.618,1
-21.01,-2.31,-15.51,16.067,1
-19.01,-2.31,-15.51,15.753,1
-17.01,-2.31,-15.51,15.689,1
-15.01,-2.31,-15.51,15.879,1
-13.01,-2.31,-15.51,16.314,1
-11.01,-2.31,-15.51,16.975,1
-24.01,-0.58,-15.51,16.827,1
-22.01,-0.58,-15.51,16.16,1
-20.01,-0.58,-15.51,15.721,1
-18.01,-0.58,-15.51,15.529,1
-16.01,-0.58,-15.51,15.593,1
-14.01,-0.58,-15.51,15.911,1
-12.01,-0.58,-15.51,16.467,1
-23.01,1.15,-15.51,16.496,1
-21.01,1.15,-15.51,15.942,1
-19.01,1.15,-15.51,15.625,1
-17.01,1.15,-15.51,15.561,1
-15.01,1.15,-15.51,15.752,1
-13.01,1.15,-15.51,16.191,1
-11.01,1.15,-15.51,16.856,1
-22.01,2.89,-15.51,16.406,1
-20.01,2.89,-15.51,15.974,1
-18.01,2.89,-15.51,15.785,1
-16.01,2.89,-15.51,15.848,1
-14.01,2.89,-15.51,16.161,1
-12.01,2.89,-15.51,16.708,1
-21.01,4.62,-15.51,16.558,1
-19.01,4.62,-15.51,16.253,1
-17.01,4.62,-15.51,16.191,1
-15.01,4.62,-15.51,16.375,1
-13.01,4.62,-15.51,16.797,1
-20.01,6.35,-15.51,16.945,1
-18.01,6.35,-15.51,16.767,1
-16.01,6.35,-15.51,16.827,1
-23.01,-8.08,-13.88,16.976,1
-21.01,-8.08,-13.88,16.437,1
-19.01,-8.08,-13.88,16.13,1
-17.01,-8.08,-13.88,16.068,1
-15.01,-8.08,-13.88,16.254,1
-13.01,-8.08,-13.88,16.679,1
-24.01,-6.35,-13.88,16.59,1
-22.01,-6.35,-13.88,15.913,1
-20.01,-6.35,-13.88,15.467,1
-18.01,-6.35,-13.88,15.272,1
-16.01,-6.35,-13.88,15.337,1
-14.01,-6.35,-13.88,15.66,1
-12.01,-6.35,-13.88,16.224,1
-25.01,-4.62,-13.88,16.439,1
-23.01,-4.62,-13.88,15.628,1
-21.01,-4.62,-13.88,15.042,1
-19.01,-4.62,-13.88,14.705,1
-17.01,-4.62,-13.88,14.637,1
-15.01,-4.62,-13.88,14.841,1
-13.01,-4.62,-13.88,15.305,1
-11.01,-4.62,-13.88,16.008,1
-9.01,-4.62,-13.88,16.919,1
-26.01,-2.89,-13.88,16.53,1
-24.01,-2.89,-13.88,15.597,1
-22.01,-2.89,-13.88,14.875,1
-20.01,-2.89,-13.88,14.396,1
-18.01,-2.89,-13.88,14.186,1
-16.01,-2.89,-13.88,14.257,1
-14.01,-2.89,-13.88,14.603,1
-12.01,-2.89,-13.88,15.207,1
-10.01,-2.89,-13.88,16.039,1
-27.01,-1.15,-13.88,16.859,1
-25.01,-1.15,-13.88,15.819,1
-23.01,-1.15,-13.88,14.974,1
-21.01,-1.15,-13.88,14.361,1
-19.01,-1.15,-13.88,14.008,1
-17.01,-1.15,-13.88,13.937,1
-15.01,-1.15,-13.88,14.15,1
-13.01,-1.15,-13.88,14.636,1
-11.01,-1.15,-13.88,15.37,1
-9.01,-1.15,-13.88,16.316,1
-26.01,0.58,-13.88,16.286,1
-24.01,0.58,-13.88,15.338,1
-22.01,0.58,-13.88,14.603,1
-20.01,0.58,-13.88,14.115,1
-18.01,0.58,-13.88,13.901,1
-16.01,0.58,-13.88,13.973,1
-14.01,0.58,-13.88,14.326,1
-12.01,0.58,-13.88,14.941,1
-10.01,0.58,-13.88,15.787,1
-8.01,0.58,-13.88,16.83,1
-27.01,2.31,-13.88,16.978,1
-25.01,2.31,-13.88,15.945,1
-23.01,2.31,-13.88,15.108,1
-21.01,2.31,-13.88,14.5,1
-19.01,2.31,-13.88,14.151,1
-17.01,2.31,-13.88,14.08,1
-15.01,2.31,-13.88,14.291,1
-13.01,2.31,-13.88,14.773,1
-11.01,2.31,-13.88,15.5,1
-9.01,2.31,-13.88,16.439,1
-26.01,4.04,-13.88,16.77,1
-24.01,4.04,-13.88,15.85,1
-22.01,4.04,-13.88,15.14,1
-20.01,4.04,-13.88,14.671,1
-18.01,4.04,-13.88,14.465,1
-16.01,4.04,-13.88,14.534,1
-14.01,4.04,-13.88,14.874,1
-12.01,4.04,-13.88,15.467,1
-10.01,4.04,-13.88,16.286,1
-25.01,5.77,-13.88,16.799,1
-23.01,5.77,-13.88,16.006,1
-21.01,5.77,-13.88,15.434,1
-19.01,5.77,-13.88,15.106,1
-17.01,5.77,-13.88,15.04,1
-15.01,5.77,-13.88,15.238,1
-13.01,5.77,-13.88,15.691,1
