X,Y,Z,Norm,R_Cell
-8.74,-2.31,-7.35,7.721,1
-6.74,-2.31,-7.35,7.849,1
-9.74,-0.58,-7.35,7.524,1
-7.74,-0.58,-7.35,7.39,1
-5.74,-0.58,-7.35,7.785,1
-10.74,1.15,-7.35,7.848,1
-8.74,1.15,-7.35,7.456,1
-6.74,1.15,-7.35,7.589,1
-7.74,2.89,-7.35,7.914,1
-10.74,-4.62,-5.72,7.766,1
-8.74,-4.62,-5.72,7.37,1
-6.74,-4.62,-5.72,7.504,1
-11.74,-2.89,-5.72,7.302,1
-9.74,-2.89,-5.72,6.582,1
-7.74,-2.89,-5.72,6.428,1
-5.74,-2.89,-5.72,6.879,1
-3.74,-2.89,-5.72,7.831,1
-12.74,-1.15,-5.72,7.368,1
-10.74,-1.15,-5.72,6.348,1
-8.74,-1.15,-5.72,5.856,1
-6.74,-1.15,-5.72,6.024,1
-4.74,-1.15,-5.72,6.804,1
-13.74,0.58,-5.72,7.956,1
-11.74,0.58,-5.72,6.731,1
-9.74,0.58,-5.72,5.942,1
-7.74,0.58,-5.72,5.771,1
-5.74,0.58,-5.72,6.269,1
-3.74,0.58,-5.72,7.301,1
-12.74,2.31,-5.72,7.636,1
-10.74,2.31,-5.72,6.656,1
-8.74,2.31,-5.72,6.189,1
-6.74,2.31,-5.72,6.349,1
-4.74,2.31,-5.72,7.093,1
-11.74,4.04,-5.72,7.829,1
-9.74,4.04,-5.72,7.162,1
-7.74,4.04,-5.72,7.021,1
-5.74,4.04,-5.72,7.436,1
-10.74,-5.77,-4.08,7.496,1
-8.74,-5.77,-4.08,7.084,1
-6.74,-5.77,-4.08,7.224,1
-4.74,-5.77,-4.08,7.886,1
-13.74,-4.04,-4.08,7.951,1
-11.74,-4.04,-4.08,6.724,1
-9.74,-4.04,-4.08,5.934,1
-7.74,-4.04,-4.08,5.764,1
-5.74,-4.04,-4.08,6.262,1
-3.74,-4.04,-4.08,7.295,1
-12.74,-2.31,-4.08,6.499,1
-10.74,-2.31,-4.08,5.313,1
-8.74,-2.31,-4.08,4.715,1
-6.74,-2.31,-4.08,4.923,1
-4.74,-2.31,-4.08,5.851,1
-2.74,-2.31,-4.08,7.227,1
-13.74,-0.58,-4.08,6.873,1
-11.74,-0.58,-4.08,5.407,1
-9.74,-0.58,-4.08,4.386,1
-7.74,-0.58,-4.08,4.151,1
-5.74,-0.58,-4.08,4.82,1
-3.74,-0.58,-4.08,6.102,1
-1.74,-0.58,-4.08,7.696,1
-14.74,1.15,-4.08,7.76,1
-12.74,1.15,-4.08,6.182,1
-10.74,1.15,-4.08,4.921,1
-8.74,1.15,-4.08,4.268,1
-6.74,1.15,-4.08,4.497,1
-4.74,1.15,-4.08,5.497,1
-2.74,1.15,-4.08,6.944,1
-13.74,2.89,-4.08,7.433,1
-11.74,2.89,-4.08,6.103,1
-9.74,2.89,-4.08,5.22,1
-7.74,2.89,-4.08,5.025,1
-5.74,2.89,-4.08,5.59,1
-3.74,2.89,-4.08,6.727,1
-12.74,4.62,-4.08,7.632,1
-10.74,4.62,-4.08,6.651,1
-8.74,4.62,-4.08,6.184,1
-6.74,4.62,-4.08,6.344,1
-4.74,4.62,-4.08,7.088,1
