X,Y,Z,R_Cell
-0.5,-1.15,-5.72,1
-1.5,0.58,-5.72,1
0.5,0.58,-5.72,1
-1.5,-4.04,-4.08,1
0.5,-4.04,-4.08,1
-2.5,-2.31,-4.08,1
-0.5,-2.31,-4.08,1
1.5,-2.31,-4.08,1
3.5,-2.31,-4.08,1
-3.5,-0.58,-4.08,1
-1.5,-0.58,-4.08,1
0.5,-0.58,-4.08,1
2.5,-0.58,-4.08,1
-2.5,1.15,-4.08,1
-0.5,1.15,-4.08,1
1.5,1.15,-4.08,1
3.5,1.15,-4.08,1
-1.5,2.89,-4.08,1
0.5,2.89,-4.08,1
2.5,2.89,-4.08,1
-2.5,-4.62,-2.45,1
-0.5,-4.62,-2.45,1
1.5,-4.62,-2.45,1
-3.5,-2.89,-2.45,1
-1.5,-2.89,-2.45,1
0.5,-2.89,-2.45,1
2.5,-2.89,-2.45,1
4.5,-2.89,-2.45,1
-4.5,-1.15,-2.45,1
-2.5,-1.15,-2.45,1
-0.5,-1.15,-2.45,1
1.5,-1.15,-2.45,1
3.5,-1.15,-2.45,1
-3.5,0.58,-2.45,1
-1.5,0.58,-2.45,1
0.5,0.58,-2.45,1
2.5,0.58,-2.45,1
4.5,0.58,-2.45,1
-4.5,2.31,-2.45,1
-2.5,2.31,-2.45,1
-0.5,2.31,-2.45,1
1.5,2.31,-2.45,1
3.5,2.31,-2.45,1
-3.5,4.04,-2.45,1
-1.5,4.04,-2.45,1
0.5,4.04,-2.45,1
2.5,4.04,-2.45,1
-0.5,-5.77,-0.82,1
-3.5,-4.04,-0.82,1
-1.5,-4.04,-0.82,1
0.5,-4.04,-0.82,1
2.5,-4.04,-0.82,1
-4.5,-2.31,-0.82,1
-2.5,-2.31,-0.82,1
-0.5,-2.31,-0.82,1
1.5,-2.31,-0.82,1
3.5,-2.31,-0.82,1
-5.5,-0.58,-0.82,1
-3.5,-0.58,-0.82,1
-1.5,-0.58,-0.82,1
0.5,-0.58,-0.82,1
2.5,-0.58,-0.82,1
4.5,-0.58,-0.82,1
-4.5,1.15,-0.82,1
-2.5,1.15,-0.82,1
-0.5,1.15,-0.82,1
1.5,1.15,-0.82,1
3.5,1.15,-0.82,1
5.5,1.15,-0.82,1
-3.5,2.89,-0.82,1
-1.5,2.89,-0.82,1
0.5,2.89,-0.82,1
2.5,2.89,-0.82,1
4.5,2.89,-0.82,1
-2.5,4.62,-0.82,1
-0.5,4.62,-0.82,1
1.5,4.62,-0.82,1
3.5,4.62,-0.82,1
-2.5,-4.62,0.82,1
-0.5,-4.62,0.82,1
1.5,-4.62,0.82,1
3.5,-4.62,0.82,1
-3.5,-2.89,0.82,1
-1.5,-2.89,0.82,1
0.5,-2.89,0.82,1
2.5,-2.89,0.82,1
4.5,-2.89,0.82,1
-4.5,-1.15,0.82,1
-2.5,-1.15,0.82,1
-0.5,-1.15,0.82,1
1.5,-1.15,0.82,1
3.5,-1.15,0.82,1
5.5,-1.15,0.82,1
-5.5,0.58,0.82,1
-3.5,0.58,0.82,1
-1.5,0.58,0.82,1
0.5,0.58,0.82,1
2.5,0.58,0.82,1
4.5,0.58,0.82,1
-4.5,2.31,0.82,1
-2.5,2.31,0.82,1
-0.5,2.31,0.82,1
1.5,2.31,0.82,1
3.5,2.31,0.82,1
-3.5,4.04,0.82,1
-1.5,4.04,0.82,1
0.5,4.04,0.82,1
2.5,4.04,0.82,1
-0.5,5.77,0.82,1
-3.5,-4.04,2.45,1
-1.5,-4.04,2.45,1
0.5,-4.04,2.45,1
2.5,-4.04,2.45,1
-4.5,-2.31,2.45,1
-2.5,-2.31,2.45,1
-0.5,-2.31,2.45,1
1.5,-2.31,2.45,1
3.5,-2.31,2.45,1
-3.5,-0.58,2.45,1
-1.5,-0.58,2.45,1
0.5,-0.58,2.45,1
2.5,-0.58,2.45,1
4.5,-0.58,2.45,1
-4.5,1.15,2.45,1
-2.5,1.15,2.45,1
-0.5,1.15,2.45,1
1.5,1.15,2.45,1
3.5,1.15,2.45,1
-3.5,2.89,2.45,1
-1.5,2.89,2.45,1
0.5,2.89,2.45,1
2.5,2.89,2.45,1
4.5,2.89,2.45,1
-2.5,4.62,2.45,1
-0.5,4.62,2.45,1
1.5,4.62,2.45,1
-1.5,-2.89,4.08,1
0.5,-2.89,4.08,1
2.5,-2.89,4.08,1
-2.5,-1.15,4.08,1
-0.5,-1.15,4.08,1
1.5,-1.15,4.08,1
3.5,-1.15,4.08,1
-3.5,0.58,4.08,1
-1.5,0.58,4.08,1
0.5,0.58,4.08,1
2.5,0.58,4.08,1
-2.5,2.31,4.08,1
-0.5,2.31,4.08,1
1.5,2.31,4.08,1
3.5,2.31,4.08,1
-1.5,4.04,4.08,1
0.5,4.04,4.08,1
-1.5,-0.58,5.72,1
0.5,-0.58,5.72,1
-0.5,1.15,5.72,1
